FP No,Area (sq.ft)
1,1400.0
2,3756.0
3,201.0
4,4495.0
5,2296.0
5,3735.0
6,2562.0
7,2712.0
8,3492.0
9,4857.0
10,3139.0
11,4189.0
12,2351.0
13,5420.0
14,4207.0
15,4955.0
16,8294.0
17,1500.0
18,506.0
19,707.0
20,5168.0
21,2267.0
22,1712.0
23,12164.0
24,4634.0
25,3489.0
26,4106.0
27,4946.0
28,3985.0
29,1212.0
29,118715.0
30,3974.0
31,823.0
32,5165.0
33,4446.0
34,16314.0
35,1500.0
36,7723.0
37,5160.0
38,2729.0
39,4212.0
40,5985.0
41,2853.0
42,9450.0
43,11610.0
44,7344.0
46,3396.0
47,1392.0
48,2403.0
49,2830.0
50,1355.0
51,2567.0
52,3263.0
53,1735.0
54,1735.0
55,1735.0
56,3027.0
57,9297.0
58,5166.0
59,2563.0
60,1916.0
61,8160.0
62,3806.0
63,2153.0
64,3376.0
65,8272.0
66,1950.0
67,3625.0
68,3753.0
69,2572.0
70,3522.0
71,4954.0
72,2929.0
73,3921.0
74,4298.0
75,3311.0
76,4442.0
77,3923.0
78,3404.0
79,19438.0
80,3469.0
81,5214.0
82,5890.0
83,3680.0
84,3468.0
85,3682.0
86,4526.0
87,3681.0
88,10195.0
89,3679.0
90,181.0
91,4757.0
92,2902.0
93,2929.0
95,2353.0
96,8558.0
97,1427.0
98,1424.0
99,2483.0
100,2638.0
101,1636.0
102,2195.0
103,6868.0
104,3066.0
105,8496.0
106,3880.0
107,11756.0
108,5819.0
109,2781.0
110,6276.0
111,2924.0
112,5822.0
113,1566.0
114,7153.0
115,1910.0
116,6022.0
117,4107.0
118,9343.0
119,4671.0
120,2478.0
121,5241.0
122,3471.0
123,6129.0
124,7363.0
125,5242.0
126,9621.0
127,7739.0
128,3338.0
129,7510.0
130,7435.0
131,17688.0
132,16096.0
133,39643.0
134,17098.0
135,4688.0
136,1566.0
137,1566.0
138,1566.0
139,6108.0
140,1434.0
141,9513.0
142,4476.0
143,4142.0
144,5857.0
145,5819.0
146,8259.0
147,2904.0
148,1501.0
149,1098.0
150,8652.0
151,1719.0
152,740290.0
152,6672.0
152,740290.0
153,6166.0
154,6065.0
155,5988.0
156,6640.0
157,1536.0
158,5386.0
159,3196.0
160,2951.0
161,7110.0
162,1418.0
163,2058.0
164,1242.0
165,4220.0
166,3081.0
167,7843.0
168,3015.0
169,880.0
170,1809.0
171,567.0
172,5678.0
173,9943.0
174,5159.0
175,730.0
176,1311.0
177,4648.0
178,1834.0
179,3066.0
180,3530.0
181,4370.0
181,859005.0
160/1,1297.0
94/1,4619.0
94/2,656.0
