fp_number,plot_area_sqft,plot_area_sqm,shape_class,frontage_m,depth_m,height_band,envelope_status,placement_status,core_status,skeleton_status,compliance_status,fsi_achieved,fsi_max,gc_achieved_pct,gc_permissible_pct,cop_provided_sqft,cop_required_sqft,cop_pct,storey_height_used_m,num_floors_estimated,footprint_width_m,footprint_depth_m,efficiency_pct,fallback_road_used,error
1,1400.73,130.13,,,,,COLLAPSED,,,,,,,,,,,,,,,,,Y,"Envelope collapsed after applying 4.50 m (14.7638 DXF ft) margin on edge 6 (ROAD, GDCR Table 6.24). The plot is too narrow to accommodate the required setback."
10,3139.37,291.66,IRREGULAR,27.037,11.441,HIGH_RISE,VALID,NO_FIT,,,,,,,,,,,,,,,,Y,Placement failed
101,1632.59,151.67,IRREGULAR,13.624,11.287,HIGH_RISE,VALID,VALID,VALID,END_CORE,COMPLIANT,0.9121,2.7,18.24,40.0,429.55,163.26,263.11,3.0,5,7.315,3.81,41.77,Y,
104,2975.77,276.46,IRREGULAR,20.786,15.885,HIGH_RISE,VALID,VALID,VALID,SINGLE_LOADED,COMPLIANT,1.3583,2.7,27.17,40.0,534.66,297.58,179.67,3.0,5,11.201,6.706,50.88,Y,
105,8495.03,789.21,IRREGULAR,28.389,31.78,HIGH_RISE,VALID,VALID,VALID,END_CORE,COMPLIANT,0.9248,2.7,18.5,40.0,4546.45,849.5,535.19,3.0,5,8.056,18.127,80.14,Y,
106,3861.0,358.7,IRREGULAR,28.456,13.01,HIGH_RISE,VALID,VALID,VALID,END_CORE,COMPLIANT,1.5715,2.7,31.43,40.0,848.86,386.1,219.85,3.0,5,5.457,20.713,82.62,Y,
107,11733.86,1090.11,IRREGULAR,36.771,29.009,HIGH_RISE,VALID,VALID,VALID,END_CORE,COMPLIANT,1.6544,2.7,33.09,40.0,1892.72,1173.39,161.3,3.0,5,18.936,19.049,81.1,Y,
108,5794.03,538.28,IRREGULAR,32.835,16.515,HIGH_RISE,VALID,VALID,VALID,SINGLE_LOADED,NON-COMPLIANT,1.9405,2.7,38.81,40.0,1029.84,579.4,177.74,3.0,5,25.728,8.132,71.13,Y,
109,2783.02,258.55,IRREGULAR,17.426,15.0,HIGH_RISE,VALID,VALID,VALID,END_CORE,COMPLIANT,1.5622,2.7,31.24,40.0,551.75,278.3,198.26,3.0,5,10.82,7.468,51.79,Y,
11,4180.04,388.34,IRREGULAR,23.229,17.198,HIGH_RISE,VALID,VALID,VALID,SINGLE_LOADED,NON-COMPLIANT,1.9212,2.7,38.42,40.0,732.55,418.0,175.25,3.0,5,17.071,8.759,64.76,Y,
110,6277.38,583.19,IRREGULAR,34.878,17.048,HIGH_RISE,VALID,VALID,VALID,END_CORE,COMPLIANT,0.9738,2.7,19.48,40.0,1097.55,627.74,174.84,3.0,5,11.963,9.525,62.2,Y,
111,2929.36,272.15,IRREGULAR,17.005,16.377,HIGH_RISE,VALID,VALID,VALID,END_CORE,COMPLIANT,1.6701,2.7,33.4,40.0,548.7,292.94,187.31,3.0,5,8.306,10.973,67.19,Y,
112,5799.92,538.83,IRREGULAR,31.703,17.716,HIGH_RISE,VALID,VALID,VALID,SINGLE_LOADED,NON-COMPLIANT,1.8481,2.7,36.96,40.0,980.16,579.99,169.0,3.0,5,24.49,8.163,70.46,Y,
113,1548.84,143.89,,,,,TOO_SMALL,,,,,,,,,,,,,,,,,Y,Resulting envelope area 185.4 sq.ft is below the minimum buildable threshold of 215.0 sq.ft (~20 sq.m). The plot is too small for the proposed margins.
114,7126.32,662.06,IRREGULAR,26.581,25.035,HIGH_RISE,VALID,VALID,VALID,END_CORE,NON-COMPLIANT,1.8787,2.7,37.57,40.0,854.51,712.63,119.91,3.0,5,18.237,13.678,73.68,Y,
115,1911.87,177.62,IRREGULAR,17.602,10.286,HIGH_RISE,VALID,NO_FIT,,,,,,,,,,,,,,,,Y,Placement failed
116,6005.87,557.96,IRREGULAR,35.089,16.261,HIGH_RISE,VALID,VALID,VALID,SINGLE_LOADED,NON-COMPLIANT,1.9202,2.7,38.4,40.0,1068.95,600.59,177.98,3.0,5,26.798,8.039,71.55,Y,
117,4106.94,381.55,IRREGULAR,27.42,13.925,HIGH_RISE,VALID,VALID,VALID,END_CORE,COMPLIANT,1.7984,2.7,35.97,40.0,884.25,410.69,215.31,3.0,5,6.463,21.36,83.15,Y,
118,9347.26,868.39,IRREGULAR,27.501,31.623,HIGH_RISE,VALID,VALID,VALID,END_CORE,NON-COMPLIANT,1.9996,2.7,39.99,40.0,934.73,934.73,100.0,3.0,5,20.731,16.851,78.64,Y,
119,4662.84,433.19,IRREGULAR,27.502,16.602,HIGH_RISE,VALID,VALID,VALID,END_CORE,NON-COMPLIANT,1.8226,2.7,36.45,40.0,865.32,466.28,185.58,3.0,5,7.553,20.907,82.78,Y,
12,2353.27,218.63,IRREGULAR,23.23,9.412,HIGH_RISE,VALID,NO_FIT,,,,,,,,,,,,,,,,Y,Placement failed
120,2478.63,230.27,IRREGULAR,23.632,9.859,HIGH_RISE,VALID,NO_FIT,,,,,,,,,,,,,,,,Y,Placement failed
121,5229.81,485.87,IRREGULAR,31.485,15.736,HIGH_RISE,VALID,VALID,VALID,END_CORE,NON-COMPLIANT,1.9436,2.7,38.87,40.0,962.69,522.98,184.08,3.0,5,7.85,24.058,85.04,Y,
122,3453.12,320.81,IRREGULAR,23.207,14.447,HIGH_RISE,VALID,VALID,VALID,END_CORE,COMPLIANT,1.6054,2.7,32.11,40.0,719.1,345.31,208.25,3.0,5,17.24,6.016,75.29,Y,
123,6129.24,569.43,IRREGULAR,34.321,16.814,HIGH_RISE,VALID,VALID,VALID,END_CORE,NON-COMPLIANT,1.9765,2.7,39.53,40.0,1081.62,612.92,176.47,3.0,5,8.444,26.716,86.53,Y,
124,7353.18,683.13,IRREGULAR,35.305,22.078,HIGH_RISE,VALID,VALID,VALID,END_CORE,COMPLIANT,0.9262,2.7,18.52,40.0,1145.75,735.32,155.82,3.0,5,6.83,19.328,81.37,Y,
125,5245.68,487.34,,,,,COLLAPSED,,,,,,,,,,,,,,,,,Y,"Envelope collapsed after applying 3.00 m (9.8425 DXF ft) margin on edge 3 (REAR, GDCR Table 6.26). The plot is too narrow to accommodate the required setback."
126,9608.43,892.65,IRREGULAR,40.029,22.363,HIGH_RISE,VALID,VALID,VALID,DOUBLE_LOADED,NON-COMPLIANT,1.9906,2.7,39.81,40.0,1264.7,960.84,131.62,3.0,5,30.705,11.575,77.2,Y,
127,26027.95,2418.08,IRREGULAR,60.791,46.09,HIGH_RISE,VALID,VALID,VALID,END_CORE,COMPLIANT,1.4064,2.7,28.13,40.0,2602.81,2602.79,100.0,3.0,5,21.149,32.747,89.01,Y,
128,3341.1,310.4,IRREGULAR,22.259,15.445,HIGH_RISE,VALID,VALID,VALID,END_CORE,COMPLIANT,1.4851,2.7,29.7,40.0,687.88,334.11,205.88,3.0,5,6.0,15.371,76.58,Y,
129,7514.15,698.09,IRREGULAR,23.659,30.697,HIGH_RISE,VALID,VALID,VALID,END_CORE,NON-COMPLIANT,1.8556,2.7,37.11,40.0,751.42,751.42,100.0,3.0,5,19.231,13.473,73.28,Y,
13,5406.29,502.26,IRREGULAR,29.773,16.767,HIGH_RISE,VALID,VALID,VALID,END_CORE,NON-COMPLIANT,1.9904,2.7,39.81,40.0,959.97,540.63,177.57,3.0,5,8.624,23.357,84.59,Y,
130,7435.77,690.81,IRREGULAR,37.131,18.615,HIGH_RISE,VALID,VALID,VALID,END_CORE,NON-COMPLIANT,1.9998,2.7,40.0,40.0,1197.9,743.58,161.1,3.0,5,9.447,29.407,87.76,Y,
131,17688.5,1643.32,,,,,COLLAPSED,,,,,,,,,,,,,,,,,Y,"Envelope collapsed after applying 3.00 m (9.8425 DXF ft) margin on edge 2 (SIDE, GDCR Table 6.26). The plot is too narrow to accommodate the required setback."
132,16073.34,1493.26,IRREGULAR,61.297,24.355,HIGH_RISE,VALID,VALID,VALID,DOUBLE_LOADED,NON-COMPLIANT,1.9901,2.7,39.8,40.0,1937.04,1607.33,120.51,3.0,5,50.26,11.917,82.31,Y,
