city,tp_scheme,fp_number,area_excel,area_geometry,diff_pct,validation_status,road_width_m,road_edges
Surat,TP14,1,1400.0,1400.73,0.05,OK,,
Surat,TP14,10,3139.0,3139.37,0.01,OK,,
Surat,TP14,101,1636.0,1632.59,-0.21,OK,,
Surat,TP14,104,3066.0,2975.77,-2.94,OK,,
Surat,TP14,105,8496.0,8495.03,-0.01,OK,,
Surat,TP14,106,3880.0,3861.0,-0.49,OK,,
Surat,TP14,107,11756.0,11733.86,-0.19,OK,,
Surat,TP14,108,5819.0,5794.03,-0.43,OK,,
Surat,TP14,109,2781.0,2783.02,0.07,OK,,
Surat,TP14,11,4189.0,4180.04,-0.21,OK,,
Surat,TP14,110,6276.0,6277.38,0.02,OK,,
Surat,TP14,111,2924.0,2929.36,0.18,OK,,
Surat,TP14,112,5822.0,5799.92,-0.38,OK,,
Surat,TP14,113,1566.0,1548.84,-1.1,OK,,
Surat,TP14,114,7153.0,7126.32,-0.37,OK,,
Surat,TP14,115,1910.0,1911.87,0.1,OK,,
Surat,TP14,116,6022.0,6005.87,-0.27,OK,,
Surat,TP14,117,4107.0,4106.94,-0.0,OK,,
Surat,TP14,118,9343.0,9347.26,0.05,OK,,
Surat,TP14,119,4671.0,4662.84,-0.17,OK,,
Surat,TP14,12,2351.0,2353.27,0.1,OK,,
Surat,TP14,120,2478.0,2478.63,0.03,OK,,
Surat,TP14,121,5241.0,5229.81,-0.21,OK,,
Surat,TP14,122,3471.0,3453.12,-0.52,OK,,
Surat,TP14,123,6129.0,6129.24,0.0,OK,,
Surat,TP14,124,7363.0,7353.18,-0.13,OK,,
Surat,TP14,125,5242.0,5245.68,0.07,OK,,
Surat,TP14,126,9621.0,9608.43,-0.13,OK,15.0,0
Surat,TP14,127,7739.0,26027.95,236.32,FAIL,,
Surat,TP14,128,3338.0,3341.1,0.09,OK,,
Surat,TP14,129,7510.0,7514.15,0.06,OK,,
Surat,TP14,13,5420.0,5406.29,-0.25,OK,,
Surat,TP14,130,7435.0,7435.77,0.01,OK,,
Surat,TP14,131,17688.0,17688.5,0.0,OK,,
Surat,TP14,132,16096.0,16073.34,-0.14,OK,,
Surat,TP14,133,39643.0,39595.39,-0.12,OK,,
Surat,TP14,134,17098.0,17079.81,-0.11,OK,,
Surat,TP14,139,6108.0,6097.41,-0.17,OK,,
Surat,TP14,14,4207.0,4191.68,-0.36,OK,,
Surat,TP14,140,1434.0,1436.61,0.18,OK,,
Surat,TP14,141,9513.0,9515.87,0.03,OK,,
Surat,TP14,142,4476.0,4458.65,-0.39,OK,,
Surat,TP14,143,4142.0,4143.34,0.03,OK,,
Surat,TP14,144,5857.0,5860.35,0.06,OK,,
Surat,TP14,145,5819.0,5820.43,0.02,OK,,
Surat,TP14,146,8259.0,8246.72,-0.15,OK,,
Surat,TP14,147,2904.0,2907.84,0.13,OK,,
Surat,TP14,148,1501.0,1502.65,0.11,OK,,
Surat,TP14,149,1098.0,1062.36,-3.25,OK,,
Surat,TP14,15,4955.0,4936.69,-0.37,OK,,
Surat,TP14,150,8652.0,8672.19,0.23,OK,,
Surat,TP14,151,1719.0,1705.25,-0.8,OK,,
Surat,TP14,152,740290.0,6680.73,-99.1,FAIL,,
Surat,TP14,153,6166.0,6138.38,-0.45,OK,,
Surat,TP14,155,5988.0,5988.43,0.01,OK,,
Surat,TP14,156,6640.0,6632.51,-0.11,OK,,
Surat,TP14,157,1536.0,1538.97,0.19,OK,,
Surat,TP14,158,5386.0,5397.44,0.21,OK,,
Surat,TP14,159,3196.0,3181.53,-0.45,OK,,
Surat,TP14,16,8294.0,8296.46,0.03,OK,,
Surat,TP14,160,2951.0,2965.5,0.49,OK,,
